TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.99969135802469,24.99996913580247,24.99996913580247,80999.00000000001,809999.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
1,24.999382716049386,24.99993827160494,24.99993827160494,80998.0,809998.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
2,24.999074074074077,24.999907407407406,24.999907407407406,80997.00000000001,809997.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
3,24.998765432098768,24.999876543209876,24.999876543209876,80996.00000000001,809995.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
4,24.998456790123463,24.999845679012346,24.999845679012346,80995.00000000001,809995.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
5,24.998148148148154,24.999814814814812,24.999814814814812,80994.00000000001,809994.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
6,24.997840881347656,24.999786376953125,24.999786376953125,80993.0,809993.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
7,24.99753189086914,24.999752044677734,24.999752044677734,80992.0078125,809991.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
8,24.997224807739258,24.99972152709961,24.99972152709961,80991.015625,809990.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
9,24.996917724609375,24.999691009521484,24.999691009521484,80990.0078125,809989.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
10,24.99660873413086,24.999658584594727,24.999658584594727,80989.015625,809988.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
11,24.996301651000977,24.9996280670166,24.9996280670166,80988.015625,809987.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
12,24.99599266052246,24.999595642089844,24.999595642089844,80987.015625,809986.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
13,24.995685577392578,24.99956512451172,24.99956512451172,80986.0234375,809985.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
14,24.995378494262695,24.99953269958496,24.99953269958496,80985.0234375,809984.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
15,24.99506950378418,24.999502182006836,24.999502182006836,80984.0234375,809983.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
16,24.994760513305664,24.999469757080078,24.999469757080078,80983.0234375,809982.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
17,24.99445343017578,24.99943733215332,24.99943733215332,80982.03125,809981.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
18,24.994144439697266,24.999406814575195,24.999406814575195,80981.03125,809980.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
