Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.246711253516259,0.0002523886105860831,6.212696115916043,0.0002,0.0,0.0
4.246764125510136,-0.0014110647362388163,6.234018870000787,0.0002,4.262,9.36
4.039277018171289,-0.9950934118049801,6.250254735870466,1.0,3.465,23.281
4.019506433278611,-0.9967310600613466,6.3021756591391584,1.0,3.451,36.406
4.004763260680274,-0.9928446352399166,6.361644677784643,1.0,3.438,49.625
3.992862708424408,-0.9959566094030224,6.3996923588972825,1.0,3.427,62.813
3.982346795099297,-0.9946648032078992,6.23361305198984,1.0,3.419,75.89099999999999
3.9724578113821183,-0.9987529288284779,5.984853971653922,1.0,3.4,89.031
3.9637400413432737,-0.9941397917087201,5.857701988766819,1.0,3.391,102.141
3.955432272676673,-0.9937968630394283,5.772313170034769,1.0,3.386,115.297
3.947905974663914,-0.9941198611582432,5.6509740843492455,1.0,3.381,128.438
3.940774900997409,-0.9951935027793659,5.571673053475088,1.0,3.376,141.578
3.933846618548325,-0.9956941482618694,5.515714320491757,1.0,3.37,154.719
3.9273923546175737,-0.9940850873517164,5.4568091229908875,1.0,3.366,167.813
3.9211979790578178,-0.9950662880111943,5.378785107690307,1.0,3.361,180.906
3.915208326950005,-0.9965696991693939,5.314407193763756,1.0,3.355,194.0
3.909650115868643,-0.9951613853874831,5.274538338221796,1.0,3.351,207.11
3.904190136270511,-0.994442528618331,5.174515866306435,1.0,3.346,220.219
3.898996130971163,-0.9952093480998665,5.129142434341374,1.0,3.341,233.313
3.893760440969397,-0.9957485990432231,5.0080842944609065,1.0,3.337,246.422
3.888806462195429,-0.9941803955256571,5.0513007595673205,1.0,3.332,259.547
3.884369300425002,-0.994410212815932,5.242850809235625,1.0,3.328,272.625
3.880096698887316,-0.9964445294011435,5.3867348931750225,1.0,3.324,285.75
3.876255755266973,-0.9961923722011251,5.51397664323308,1.0,3.32,298.86
3.872645902645617,-0.9939479549284844,5.639390668885933,1.0,3.317,311.953
3.86915800564983,-0.9963734012434594,5.7583258473072965,1.0,3.314,325.094
3.866015371350042,-0.9951464867445037,5.832963155162861,1.0,3.311,338.172
3.862977664836382,-0.9943591514089719,5.915867236906388,1.0,3.308,351.235
3.860406957457223,-0.995296692602884,5.973522128048028,1.0,3.306,364.313
3.8574103612896185,-0.9935060430239315,6.037473774870282,1.0,3.303,377.406
3.854711367313613,-0.9942100515901466,6.112633317377791,1.0,3.301,390.516
3.8520056988643434,-0.9950611209001146,6.19076421543365,1.0,3.298,403.61
3.8496045007296327,-0.995206016542608,6.22875775299197,1.0,3.296,416.688
3.847234477772906,-0.9950955697446252,6.296519506121976,1.0,3.294,429.75
